id, X, Y, ele, Lat, Lon, slp, asp,svf,SurfType
'126', '112954.0', '606217.0', '3100.0', '46.168029', '7.519131', '90', '75', '0.46', 'bedrock'
'127', '112951.0', '606193.0', '3120.0', '46.168002', '7.518821', '75', '308', '0.57', 'bedrock'
'128', '112930.0', '606137.0', '3140.0', '46.167814', '7.518095', '95', '198', '0.45', 'bedrock'
'129', '113919.0', '605052.0', '2590.0', '46.176719', '7.504058', '85', '278', '0.48', 'bedrock'
'130', '113946.0', '605091.0', '2590.0', '46.176962', '7.504563', '90', '50', '0.41', 'bedrock'
'131', '-999.0', '-999.0', '2606.0', '47.569380', '12.865840', '100', '5', '0.01', 'bedrock'
'132', '-999.0', '-999.0', '2606.0', '47.569140', '12.865860', '86', '251', '0.03', 'bedrock'
'133', '-999.0', '-999.0', '2606.0', '47.569520', '12.865640', '95', '290', '0.03', 'bedrock'
'134', '-999.0', '-999.0', '2606.0', '47.569360', '12.865910', '86', '71', '0.44', 'bedrock'
'135', '-999.0', '-999.0', '2606.0', '47.569390', '12.865960', '78', '342', '0.60', 'bedrock'
'136', '-999.0', '-999.0', '2606.0', '47.569230', '12.865970', '53', '134', '0.78', 'bedrock'
'138', '156799.0', '631995.0', '2670.0', '46.561704', '7.855904', '85', '205', '0.48', 'bedrock'
'139', '156689.0', '630834.0', '2680.0', '46.560769', '7.840756', '22', '130', '0.92', 'bedrock'
'141', '145226.0', '783182.0', '2690.0', '46.433334', '9.822323', '8', '320', '0.99', 'bedrock'
'142', '144916.0', '783370.0', '2784.0', '46.430495', '9.824645', '85', '278', '0.49', 'bedrock'
'145', '143538.0', '783150.0', '3285.0', '46.418165', '9.821239', '72', '333', '0.65', 'bedrock'
'146', '143427.0', '783103.0', '3300.0', '46.417180', '9.820584', '58', '181', '0.73', 'bedrock'
'147', '159034.0', '643307.0', '2860.0', '46.581172', '8.003637', '90', '325', '0.48', 'bedrock'
'148', '158049.0', '643830.0', '3150.0', '46.572278', '8.010366', '87', '100', '0.51', 'bedrock'
'149', '157427.0', '632167.0', '2410.0', '46.567345', '7.858191', '10', '130', '0.88', 'bedrock'
'150', '144561.0', '784587.0', '2740.0', '46.426969', '9.840329', '11', '344', '0.97', 'bedrock'
'151', '145365.0', '784615.0', '2765.0', '46.434190', '9.841013', '23', '11', '0.90', 'bedrock'
'152', '155025.0', '640816.0', '3750.0', '46.545267', '7.970785', '55', '344', '0.77', 'bedrock'
'153', '155013.0', '640816.0', '3750.0', '46.545159', '7.970783', '70', '145', '0.57', 'bedrock'
'155', '106300.0', '588670.0', '2380.0', '46.108106', '7.292104', '95', '325', '0.38', 'bedrock'
'156', '106089.0', '587740.0', '2730.0', '46.106192', '7.280081', '95', '39', '0.39', 'bedrock'
'157', '106142.0', '587767.0', '2720.0', '46.106669', '7.280429', '90', '140', '0.43', 'bedrock'
'158', '105773.0', '587558.0', '2700.0', '46.103346', '7.277736', '80', '225', '0.55', 'bedrock'
'159', '105622.0', '587693.0', '2770.0', '46.101990', '7.279486', '100', '341', '0.36', 'bedrock'
'160', '145584.0', '784665.0', '2805.0', '46.436146', '9.841751', '90', '88', '0.47', 'bedrock'
'161', '145527.0', '784607.0', '2830.0', '46.435649', '9.840974', '98', '185', '0.39', 'bedrock'
'162', '155603.0', '642189.0', '3550.0', '46.550381', '7.988738', '72', '288', '0.65', 'bedrock'
'163', '144838.0', '783028.0', '2630.0', '46.429887', '9.820167', '15', '20', '0.93', 'bedrock'
'166', '-999.0', '-999.0', '2946.0', '47.421180', '10.986800', '29', '101', '0.93', 'bedrock'
'167', '-999.0', '-999.0', '2945.0', '47.421360', '10.985800', '76', '339', '0.48', 'bedrock'
'169', '-999.0', '-999.0', '2680.0', '47.416090', '10.976550', '83', '190', '0.68', 'bedrock'
'170', '-999.0', '-999.0', '2605.0', '47.412680', '10.977380', '6', '140', '0.98', 'bedrock'
'171', '-999.0', '-999.0', '2950.0', '47.421070', '10.986200', '111', '210', '0.30', 'bedrock'
'172', '-999.0', '-999.0', '2955.0', '47.421200', '10.986350', '82', '280', '0.55', 'bedrock'
'205', '139578.0', '614798.0', '2452.0', '46.407393', '7.631078', '9', '319', '0.88', 'vegetation'
'206', '139565.0', '614795.0', '2455.0', '46.407276', '7.631039', '27', '336', '0.85', 'coarse blocks'
'207', '139529.0', '614802.0', '2469.0', '46.406952', '7.631129', '14', '44', '0.86', 'coarse blocks'
'208', '139470.0', '614825.0', '2494.0', '46.406421', '7.631426', '28', '202', '0.84', 'coarse blocks'
'209', '139402.0', '614824.0', '2519.0', '46.405809', '7.631411', '14', '351', '0.87', 'coarse blocks'
'210', '139300.7', '614785.0', '2611.0', '46.404899', '7.630900', '37', '329', '0.80', 'coarse blocks'
'211', '139362.0', '614866.0', '2529.0', '46.405448', '7.631955', '26', '319', '0.82', 'coarse blocks'
'212', '139395.0', '614918.0', '2520.0', '46.405744', '7.632633', '32', '13', '0.78', 'coarse blocks'
'213', '139507.0', '614860.0', '2467.0', '46.406753', '7.631882', '26', '326', '0.82', 'coarse blocks'
'214', '139477.0', '614709.0', '2473.0', '46.406486', '7.629917', '20', '155', '0.86', 'debris'
'215', '139491.0', '614772.0', '2479.0', '46.406611', '7.630737', '35', '317', '0.84', 'coarse blocks'
'216', '139377.0', '614767.0', '2528.0', '46.405585', '7.630669', '22', '192', '0.85', 'debris'
'218', '139343.4', '614832.3', '2536.0', '46.405282', '7.631517', '20', '357', '0.82', 'coarse blocks'
'219', '139428.5', '614816.1', '2511.0', '46.406048', '7.631309', '25', '322', '0.87', 'coarse blocks'
'220', '139482.0', '614846.0', '2486.0', '46.406528', '7.631699', '26', '16', '0.80', 'coarse blocks'
'221', '139476.0', '614865.0', '2488.0', '46.406474', '7.631946', '15', '72', '0.86', 'coarse blocks'
'222', '139646.0', '614831.0', '2454.0', '46.408004', '7.631509', '8', '124', '0.85', 'vegetation'
'223', '139648.0', '614880.0', '2453.0', '46.408021', '7.632147', '7', '70', '0.84', 'vegetation'
'224', '139594.0', '614931.0', '2453.0', '46.407534', '7.632808', '5', '308', '0.86', 'debris'
'225', '139592.0', '614889.0', '2453.0', '46.407517', '7.632262', '5', '21', '0.86', 'vegetation'
'226', '139594.0', '614826.0', '2456.0', '46.407536', '7.631443', '17', '285', '0.89', 'vegetation'
'227', '139594.0', '614776.0', '2453.0', '46.407537', '7.630792', '8', '232', '0.87', 'vegetation'
'228', '139594.0', '614721.0', '2456.0', '46.407539', '7.630077', '16', '141', '0.81', 'vegetation'
'229', '139543.0', '614932.0', '2468.0', '46.407075', '7.632820', '27', '322', '0.85', 'debris'
'230', '139541.0', '614880.0', '2461.0', '46.407058', '7.632143', '10', '343', '0.87', 'debris'
'231', '139544.0', '614831.0', '2457.0', '46.407086', '7.631506', '10', '30', '0.82', 'coarse blocks'
